user_id,user_name,org,is_active,effective_from
user-0000,합성-0000,A부문>X팀,1,2026-01-01
user-0001,합성-0001,A부문>X팀,1,2026-01-01
user-0002,합성-0002,A부문>Y팀,1,2026-01-01
user-0003,합성-0003,A부문>Y팀,1,2026-01-01
user-0004,합성-0004,A부문>연구소>X팀,1,2026-01-01
user-0005,합성-0005,A부문>연구소>X팀,1,2026-01-01
user-0005,합성-0005,B부문>Z팀,1,2026-06-01
user-0006,합성-0006,B부문>Z팀,1,2026-01-01
user-0007,합성-0007,B부문>Z팀,1,2026-01-01
user-0008,합성-0008,B부문>연구소>Y팀,1,2026-01-01
user-0009,합성-0009,B부문>연구소>Y팀,1,2026-01-01
user-0010,합성-0010,C부문>인프라팀,1,2026-02-01
user-0011,합성-0011,C부문>인프라팀,1,2026-02-01
user-0012,합성-0012,C부문>플랫폼팀,1,2026-02-01
user-0013,합성-0013,C부문>플랫폼팀,1,2026-02-01
user-0014,합성-0014,C부문>연구소>Z팀,1,2026-02-01
user-0015,합성-0015,D부문,1,2026-02-01
user-0016,합성-0016,D부문>X팀,1,2026-02-01
user-0017,합성-0017,D부문>X팀,1,2026-02-01
user-0018,합성-0018,D부문>Y팀,1,2026-03-01
user-0019,합성-0019,D부문>Y팀,1,2026-03-01
user-0020,합성-0020,E부문>연구소>X팀,1,2026-03-01
user-0021,합성-0021,E부문>연구소>X팀,1,2026-03-01
user-0022,합성-0022,E부문>연구소>Y팀,1,2026-03-01
user-0023,합성-0023,E부문>Z팀,1,2026-03-01
user-0024,합성-0024,E부문>Z팀,1,2026-03-01
user-0025,합성-0025,F부문,1,2026-04-01
user-0026,합성-0026,F부문>X팀,1,2026-04-01
user-0027,합성-0027,F부문>X팀,1,2026-04-01
user-0028,합성-0028,F부문>연구소>Y팀,1,2026-04-01
user-0029,합성-0029,F부문>Y팀,0,2026-04-01
anon-0000,합성-9000,C부문>인프라팀,1,2026-01-01
